time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-26T11:13:39.010Z,15.2551,-97.352,10,4.2,mb,,232,2.573,1.26,us,us1000ecng,2018-05-27T05:34:22.040Z,"72km SSW of Puerto Escondido, Mexico",earthquake,5.8,2,0.089,35,reviewed,us,us
2018-05-26T10:44:38.110Z,19.4095001,-155.2678375,-0.58,2.75,ml,20,62,0.007942,0.2,hv,hv70193362,2018-05-26T10:50:18.120Z,"3km SW of Volcano, Hawaii",earthquake,0.18,0.26,2.47,27,automatic,hv,hv
2018-05-26T10:23:33.320Z,18.3535,-67.8483,110,2.97,md,11,171,0.7459,0.25,pr,pr2018146008,2018-05-26T14:11:51.291Z,"63km ESE of Punta Cana, Dominican Republic",earthquake,2.82,1.79,0.29,8,reviewed,pr,pr
2018-05-26T09:41:20.420Z,19.3974991,-155.3213348,-0.13,2.76,ml,9,198,0.03883,0.29,hv,hv70193237,2018-05-26T09:46:59.270Z,"9km WSW of Volcano, Hawaii",earthquake,0.96,2.1,0.19,4,automatic,hv,hv
2018-05-26T08:40:19.860Z,19.3495007,-155.2433319,0.42,2.66,ml,40,90,0.02408,0.15,hv,hv70193122,2018-05-26T08:45:57.450Z,"9km S of Volcano, Hawaii",earthquake,0.2,0.32,0.33,8,automatic,hv,hv
2018-05-26T08:30:16.050Z,18.6375,-64.9201,32,2.96,md,4,340,1.0525,0.2,pr,pr2018146006,2018-05-26T13:25:55.517Z,"32km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.17,14.75,0.23,3,reviewed,pr,pr
2018-05-26T08:25:12.530Z,19.3221664,-155.2141724,7.79,2.56,ml,54,80,0.04191,0.24,hv,hv70193102,2018-05-26T08:30:50.060Z,"12km SSE of Volcano, Hawaii",earthquake,0.43,0.36,3.7,20,automatic,hv,hv
2018-05-26T07:46:40.150Z,19.1525,-64.7728,44,3.4,md,7,338,1.4761,0.24,pr,pr2018146005,2018-05-26T13:03:24.430Z,"83km NNW of Road Town, British Virgin Islands",earthquake,3.53,15.15,0.14,5,reviewed,pr,pr
2018-05-26T07:22:52.330Z,13.0005,-89.9232,35,4.4,mb,,162,1.65,0.85,us,us1000ecm0,2018-05-26T08:02:13.040Z,"66km S of Acajutla, El Salvador",earthquake,7.8,2,0.04,180,reviewed,us,us
2018-05-26T06:52:58.860Z,33.5038338,-116.7904968,5.08,2.49,ml,40,45,0.07579,0.19,ci,ci37949711,2018-05-27T00:36:27.919Z,"10km NE of Aguanga, CA",earthquake,0.24,1.31,0.397,10,automatic,ci,ci
2018-05-26T06:15:10.650Z,18.0993,-67.36,12,2.5,md,13,279,0.2453,0.35,pr,pr2018146004,2018-05-26T09:03:21.839Z,"18km W of Puerto Real, Puerto Rico",earthquake,1.49,0.98,0.42,11,reviewed,pr,pr
